Date,Open,High,Low,Close,Adj Close,Volume
2016-10-14,83.300003,83.989998,82.910004,83.080002,62.760666,3187500
2016-10-17,83.150002,83.769997,83.080002,83.260002,62.896648,3154000
2016-10-18,83.809998,84.279999,83.510002,83.790001,63.297043,2533200
2016-10-19,83.809998,84.089996,83.339996,83.970001,63.433006,2871000
2016-10-20,83.959999,84.330002,83.320000,83.779999,63.289463,3261100
2016-10-21,83.379997,83.690002,83.099998,83.470001,63.055279,3193800
2016-10-24,83.849998,84.510002,83.330002,83.660004,63.198795,3948800
2016-10-25,83.320000,83.620003,83.059998,83.510002,63.085506,3161400
2016-10-26,83.190002,83.309998,81.849998,82.419998,62.262089,4093100
2016-10-27,82.269997,82.309998,80.040001,80.260002,60.630375,5969300
2016-10-28,80.389999,81.139999,80.150002,80.449997,60.773914,4819100
2016-10-31,80.800003,81.910004,80.470001,81.760002,61.763508,5009700
2016-11-01,81.400002,81.470001,79.699997,79.980003,60.418861,7465200
2016-11-02,79.849998,80.080002,78.790001,78.809998,59.535011,7847600
2016-11-03,78.870003,79.010002,78.180000,78.199997,59.074203,7221900
2016-11-04,78.389999,79.080002,78.059998,78.820000,59.542576,4432600
2016-11-07,79.410004,80.230003,79.410004,80.199997,60.585033,5860500
2016-11-08,80.180000,80.889999,79.800003,80.620003,60.902328,4023300
2016-11-09,78.699997,80.000000,77.769997,79.400002,59.980705,10045800
2016-11-10,79.300003,79.339996,76.980003,78.070000,58.975986,13504700
2016-11-11,78.000000,79.510002,77.949997,78.540001,59.331043,5066000
2016-11-14,78.400002,80.610001,78.019997,80.400002,60.736141,6755200
2016-11-15,80.669998,81.339996,79.180000,79.730003,60.229996,7719900
2016-11-16,79.760002,80.000000,78.900002,79.500000,60.056255,10337100
2016-11-17,79.459999,80.059998,78.580002,78.690002,59.444355,3645200
2016-11-18,78.790001,79.129997,78.419998,78.919998,59.618107,3655600
2016-11-21,79.180000,79.750000,78.589996,78.680000,59.436810,3488200
2016-11-22,79.070000,80.099998,78.830002,80.059998,60.479267,4226700
2016-11-23,79.360001,79.800003,79.040001,79.720001,60.222439,6542100
2016-11-25,79.800003,80.629997,79.739998,80.180000,60.569942,1904500
2016-11-28,80.180000,81.080002,80.129997,80.550003,60.849442,4065700
2016-11-29,80.629997,81.730003,80.570000,81.320000,61.431126,3754200
2016-11-30,80.550003,81.050003,80.000000,80.389999,60.728561,6826400
2016-12-01,79.919998,80.209999,78.760002,79.209999,59.837158,6361900
2016-12-02,79.559998,80.830002,79.430000,80.000000,60.433968,3695900
2016-12-05,80.010002,80.690002,79.730003,80.589996,60.879665,3457200
2016-12-06,80.800003,81.470001,80.500000,81.110001,61.272476,4024800
2016-12-07,81.169998,82.860001,81.070000,82.730003,62.496284,5754300
2016-12-08,82.449997,83.529999,82.010002,83.300003,62.926872,4404200
2016-12-09,83.349998,83.989998,83.019997,83.209999,62.858864,4506200
2016-12-12,82.980003,83.809998,82.830002,83.760002,63.274361,3610700
2016-12-13,84.099998,84.190002,83.139999,83.720001,63.244152,4015100
2016-12-14,83.620003,83.830002,81.750000,81.889999,61.861713,4857300
2016-12-15,81.820000,82.470001,81.160004,81.410004,61.499107,3915200
2016-12-16,81.580002,83.169998,81.449997,82.629997,62.420731,6581100
2016-12-19,82.910004,83.879997,82.900002,83.519997,63.093063,3663600
2016-12-20,83.480003,84.080002,83.180000,83.709999,63.236588,5193600
2016-12-21,83.709999,84.260002,82.419998,82.440002,62.277195,4998400
2016-12-22,80.639999,80.879997,79.910004,80.610001,62.173058,3891700
2016-12-23,80.720001,82.279999,80.489998,80.820000,62.335041,4504400
2016-12-27,80.940002,81.300003,80.610001,80.989998,62.466160,3833000
2016-12-28,81.180000,81.180000,80.239998,80.500000,62.088223,3979500
2016-12-29,80.760002,81.739998,80.449997,81.500000,62.859497,4259400
2016-12-30,81.589996,82.699997,81.199997,82.529999,63.653942,6673400
2017-01-03,82.980003,83.000000,82.139999,82.800003,63.862175,9380300
2017-01-04,82.910004,84.190002,82.830002,84.010002,64.795441,6598700
2017-01-05,83.699997,84.379997,82.919998,84.279999,65.003685,8555700
2017-01-06,84.019997,84.699997,83.820000,84.290001,65.011391,3901200
2017-01-09,84.529999,84.529999,83.500000,83.529999,64.425224,3546100
2017-01-10,83.570000,83.570000,82.779999,82.820000,63.877605,3959600
2017-01-11,82.870003,82.959999,82.230003,82.309998,63.484261,4498000
2017-01-12,82.400002,82.769997,81.599998,82.730003,63.808182,4670700
2017-01-13,82.720001,83.019997,82.330002,82.610001,63.715649,3658100
2017-01-17,82.959999,83.320000,82.760002,83.250000,64.209251,4139200
2017-01-18,83.220001,83.669998,83.029999,83.389999,64.317238,3317400
2017-01-19,83.080002,83.250000,82.339996,82.540001,63.661648,3169200
2017-01-20,82.570000,83.190002,82.379997,83.139999,64.124413,3285400
2017-01-23,83.260002,83.970001,83.000000,83.839996,64.664307,3165600
2017-01-24,83.839996,84.209999,83.500000,83.860001,64.679749,4204200
2017-01-25,83.809998,84.160004,83.059998,83.309998,64.255539,3461500
2017-01-26,83.320000,83.720001,83.029999,83.150002,64.132141,4093700
2017-01-27,83.389999,83.500000,82.019997,82.339996,63.507416,2996000
2017-01-30,82.099998,82.269997,81.570000,81.779999,63.075474,3182600
2017-01-31,81.800003,82.949997,81.800003,82.370003,63.530533,11091400
2017-02-01,82.279999,82.889999,81.320000,81.379997,62.766953,4555800
2017-02-02,81.430000,82.430000,81.419998,82.349998,63.515110,4754800
2017-02-03,82.959999,83.230003,82.459999,82.800003,63.862175,4165000
2017-02-06,82.900002,83.059998,82.489998,82.660004,63.754196,2985800
2017-02-07,82.730003,83.029999,82.239998,82.370003,63.530533,3250700
2017-02-08,82.620003,83.199997,82.300003,83.019997,64.031860,3316700
2017-02-09,83.019997,83.379997,82.919998,83.220001,64.186127,2806600
2017-02-10,83.190002,83.860001,83.029999,83.809998,64.641174,2983800
2017-02-13,83.879997,84.199997,83.379997,83.839996,64.664307,3968200
2017-02-14,83.639999,83.690002,82.750000,83.400002,64.324936,2687900
2017-02-15,82.879997,83.250000,82.339996,83.120003,64.108994,3687300
2017-02-16,83.209999,84.169998,83.120003,83.610001,64.486916,3097800
2017-02-17,83.809998,83.900002,83.070000,83.769997,64.610329,2624100
2017-02-21,83.680000,84.930000,83.570000,84.839996,65.435585,5646700
2017-02-22,84.959999,85.250000,84.129997,84.559998,65.219635,3464400
2017-02-23,84.790001,85.070000,84.220001,85.000000,65.559006,3430900
2017-02-24,84.980003,85.430000,84.519997,85.400002,65.867531,3667400
2017-02-27,85.389999,86.160004,85.320000,85.849998,66.214584,3326700
2017-02-28,85.849998,85.849998,85.059998,85.260002,65.759537,5778100
2017-03-01,85.000000,85.489998,84.699997,85.000000,65.559006,6282800
2017-03-02,84.879997,84.949997,84.250000,84.540001,65.204224,3060400
2017-03-03,84.470001,84.550003,83.349998,84.209999,64.949677,4177700
2017-03-06,84.059998,84.099998,83.430000,83.830002,64.656624,3237400
2017-03-07,83.650002,83.790001,83.029999,83.430000,64.348091,4658000
2017-03-08,82.940002,83.040001,81.830002,81.889999,63.160320,4814100
2017-03-09,81.730003,82.220001,80.480003,80.660004,62.211632,5604300
2017-03-10,81.300003,81.709999,79.980003,80.410004,62.018814,6278800
2017-03-13,80.500000,81.110001,80.339996,80.610001,62.173058,4691000
2017-03-14,80.529999,80.790001,80.070000,80.589996,62.157646,4582400
2017-03-15,80.830002,82.639999,80.779999,82.220001,63.414845,7177800
2017-03-16,82.129997,82.620003,81.910004,82.059998,63.291443,4456700
2017-03-17,82.400002,82.699997,82.000000,82.440002,63.584526,4380600
2017-03-20,82.500000,82.739998,82.160004,82.370003,63.530533,2748500
2017-03-21,82.480003,82.720001,81.879997,82.010002,63.252876,6969700
2017-03-22,81.510002,81.559998,80.550003,81.370003,63.217918,4618000
2017-03-23,81.379997,82.629997,81.260002,81.970001,63.684055,7610200
2017-03-24,82.089996,82.449997,81.779999,81.879997,63.614117,4399200
2017-03-27,81.760002,82.120003,80.889999,81.139999,63.039204,4556000
